# FEN|result
rnbqkbnr/pp2pppp/8/2pp4/P7/5NP1/1PPPPP1P/RNBQKB1R w KQkq - 0 4|0.5
rnbqkbnr/pp2pppp/8/2pp4/P7/N4NP1/1PPPPP1P/R1BQKB1R b KQkq - 1 4|0.5
r1bqkb1r/1p2ppp1/p1n2n1p/2pp4/P2P1B2/N4NP1/1PP1PPBP/R2QK2R w KQkq - 2 8|0.5
r1bqkb1r/1p2ppp1/p1n2n1p/2pp4/P1PP1B2/N4NP1/1P2PPBP/R2QK2R b KQkq c3 0 8|0.5
r1bqk2r/1p2bpp1/p3pn1p/3pB3/P1PQ4/N5P1/1P2PPBP/R3K2R w KQkq - 1 12|0.5
r1bqk2r/1p2bpp1/p3pn1p/3pB3/P1PQ4/6P1/1P2PPBP/RN2K2R b KQkq - 2 12|0.5
r3k2r/1p1bbpp1/p3pn1p/4B3/PqpQ4/N4BP1/1P2PP1P/R4K1R w kq - 2 16|0.5
r3k2r/1p1bbpp1/p3pn1p/4B3/PqQ5/N4BP1/1P2PP1P/R4K1R b kq - 0 16|0.5
3rk2r/1B2bpp1/p3pn1p/8/b7/N1B3P1/1P2PP1P/R4K1R w k - 0 20|0.5
3rk2r/1B2bpp1/p3pn1p/8/b7/2B3P1/1P2PP1P/RN3K1R b k - 1 20|0.5
4k2r/5pp1/pr1bpn1p/1b6/8/1NB3P1/1P2PPBP/R4K1R w k - 8 24|0.5
4k2r/5pp1/pr1bpn1p/1b6/8/1NB2BP1/1P2PP1P/R4K1R b k - 9 24|0.5
4r1k1/5pp1/pr3n1p/1bb1p3/4B2P/2B3P1/1P1NPP2/R4K1R w - - 5 28|0.5
4r1k1/5pp1/pr3n1p/1bb1p3/7P/2BB2P1/1P1NPP2/R4K1R b - - 6 28|0.5
4r1k1/5pp1/p1b4p/B1b5/4n2P/3B1PP1/1r2P3/R4K1R w - - 0 32|0.5
4r1k1/5pp1/p1b4p/2b5/4n2P/3B1PP1/1r2P3/R3BK1R b - - 1 32|0.5
4r1k1/3n1pp1/2b4p/2b5/7P/3B1PP1/1r2P3/R3BK1R w - - 5 36|0.5
4r1k1/3n1pp1/2b4p/2b5/7P/3B1PP1/1r2P3/2R1BK1R b - - 6 36|0.5
4r1k1/3n1pp1/8/2b4p/7P/1r1b1PP1/4P2R/2R1BK2 w - - 0 40|0.5
4r1k1/3n1pp1/8/2b4p/7P/1r1P1PP1/7R/2R1BK2 b - - 0 40|0.5
r4bk1/5pp1/8/2n4p/7P/3r1PP1/3R4/2R1BK2 w - - 6 44|0.5
r4bk1/5pp1/8/2n4p/7P/3r1PP1/2R5/2R1BK2 b - - 7 44|0.5
2R2bk1/5pp1/8/7p/3rnP1P/6P1/8/4BK2 w - - 1 48|0.5
2R2bk1/5pp1/8/5P1p/3rn2P/6P1/8/4BK2 b - - 0 48|0.5
3R1bk1/5p2/8/2n2p1P/r6P/8/8/4BK2 w - - 1 52|0.5
3R1bk1/5p2/7P/2n2p2/r6P/8/8/4BK2 b - - 0 52|0.5
6k1/5p2/4n2P/2bR1p2/7P/5r2/8/4BK2 w - - 7 56|0.5
6k1/5p2/4n2P/2bR1p2/7P/5r2/6K1/4B3 b - - 8 56|0.5
5b1k/5p2/7P/3n1p2/5B1P/5K2/8/8 w - - 4 60|0.5
5b1k/5p2/7P/3n1p2/7P/5K2/7B/8 b - - 5 60|0.5
5b2/2B1np1k/7P/5p2/5K1P/8/8/8 w - - 12 64|0.5
5b2/2B1np1k/7P/5pK1/7P/8/8/8 b - - 13 64|0.5
1B6/5p1k/7b/3n1K1P/8/8/8/8 w - - 1 68|0.5
8/5p1k/7b/3n1K1P/8/8/7B/8 b - - 2 68|0.5
6k1/5p2/3K4/4B2P/8/2n5/3b4/8 w - - 9 72|0.5
6k1/3K1p2/8/4B2P/8/2n5/3b4/8 b - - 10 72|0.5
2K3k1/2B2p2/8/3n2bP/8/8/8/8 w - - 17 76|0.5
2K3k1/5p2/8/3n2bP/8/8/7B/8 b - - 18 76|0.5
6k1/1K2np2/7b/7P/3B4/8/8/8 w - - 25 80|0.5
6k1/1K2np2/7b/2B4P/8/8/8/8 b - - 26 80|0.5
rnbqk1nr/ppp1bppp/4p3/3p4/8/P3PN2/1PPP1PPP/RNBQKB1R w KQkq d6 0 4|1
rnbqk1nr/ppp1bppp/4p3/3p4/2P5/P3PN2/1P1P1PPP/RNBQKB1R b KQkq c3 0 4|0
r1bqk2r/1p1nbppp/2p1pn2/p2p4/2PPP3/P1N2N2/1P3PPP/R1BQKB1R w KQkq - 1 8|1
r1bqk2r/1p1nbppp/2p1pn2/p2pP3/2PP4/P1N2N2/1P3PPP/R1BQKB1R b KQkq - 0 8|0
r1bqk2r/1p1n1ppp/2p1p3/p2PP3/3P4/P1N5/1PQ2PPP/R1b1KB1R w KQkq - 0 12|1
r1bqk2r/1p1n1ppp/2P1p3/p3P3/3P4/P1N5/1PQ2PPP/R1b1KB1R b KQkq - 0 12|0
r1bq1rk1/5ppp/2pNp2b/p3P3/8/P7/1PQ2PPP/R3KB1R w KQ - 0 16|1
r1bq1rk1/5ppp/2pNp2b/p3P3/8/P1Q5/1P3PPP/R3KB1R b KQ - 1 16|0
r4rk1/3b1ppp/3Np2b/q1p1P3/p1B2P2/P1Q3P1/1P5P/R3K2R w KQ - 1 20|1
r4rk1/3b1ppp/3Np2b/q1p1P3/p1B2P2/P1Q3P1/1P5P/R3KR2 b Q - 2 20|0
1r5k/3b1p1p/4p1pb/r1p1P3/p1B1NP1P/P5P1/1P6/R3KR2 w Q - 1 24|1
1r5k/3b1p1p/4p1pb/r1p1P3/p1B1NP1P/P5P1/1P6/2KR1R2 b - - 2 24|0
rr3bk1/5p1p/2bNp1p1/2p1P3/p1B2P1P/P3R1P1/1P6/2KR4 w - - 9 28|1
rr3bk1/5p1p/2bNp1p1/2p1P2P/p1B2P2/P3R1P1/1P6/2KR4 b - - 0 28|0
1r5k/r3bp1p/2b1pN2/2p1P1pP/p1B2PP1/P3R3/1P6/2KR4 w - - 0 32|1
1r5k/r3bp1p/2b1pN2/2p1P1PP/p1B3P1/P3R3/1P6/2KR4 b - - 0 32|0
5r2/2r1bpkp/2b1pN2/2p1P1PP/p1B3P1/P2R4/1P3R2/2K5 w - - 7 36|1
5r2/2r1bpkp/2b1pN2/2p1P1PP/p1B3P1/P1R5/1P3R2/2K5 b - - 8 36|0
8/2r1bpkp/2b1pN2/2p1P1PP/p2r2P1/P1R2B2/1P3R2/2K5 w - - 15 40|1
8/2r1bpkp/2b1pN2/2p1P1PP/p2r2P1/P1R5/1P3R2/2KB4 b - - 16 40|0
5k2/1r2bp1p/4pN1P/1bp1P1P1/p2r2P1/P1R5/1PB5/2K2R2 w - - 3 44|1
5k2/1r2bp1N/4p2P/1bp1P1P1/p2r2P1/P1R5/1PB5/2K2R2 b - - 0 44|0
8/1rk1bp1P/4pN2/2p1P1P1/B2r2P1/P1R5/1P6/2K2b2 w - - 1 48|1
7Q/1rk1bp2/4pN2/2p1P1P1/B2r2P1/P1R5/1P6/2K2b2 b - - 2 48|0
1r6/2k1bp2/4pN2/1bp1P1P1/3r2P1/P1R5/1PB5/2K4Q w - - 9 52|1
1r6/2k1bp2/4pN2/1bp1P1PQ/3r2P1/P1R5/1PB5/2K5 b - - 10 52|0
1r6/1k3p2/3bp3/2p1P1PQ/3r2P1/P6R/1PB5/2K5 w - - 0 56|1
1r6/1k3p2/3bp3/2p1P1PQ/3r2P1/PR6/1PB5/2K5 b - - 1 56|0
8/5Q2/k2Pp3/2p3P1/8/Pr6/1P6/2KB2r1 w - - 0 60|1
8/8/k2PQ3/2p3P1/8/Pr6/1P6/2KB2r1 b - - 0 60|0
1r6/8/k2P4/2Q3P1/8/P7/8/3K4 w - - 1 64|1
1r6/8/k2P4/6P1/8/P7/2Q5/3K4 b - - 2 64|0
8/3P4/2k5/6P1/8/P7/8/3K4 w - - 1 68|1
3Q4/8/2k5/6P1/8/P7/8/3K4 b - - 2 68|0
8/8/3Q2P1/8/k7/P7/8/3K4 w - - 5 72|1
r1bqkb1r/pppnpppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4|0.5
r1bqkb1r/pppnpppp/3p1n2/8/P3P3/2N2N2/1PPP1PPP/R1BQKB1R b KQkq a3 0 4|0.5
r1bqk2r/ppp1bpp1/3p1n1p/P1n1p3/4P3/2NP1N2/1PP1BPPP/R1BQK2R w KQkq - 0 8|0.5
r1bqk2r/ppp1bpp1/3p1n1p/P1n1p3/1P2P3/2NP1N2/2P1BPPP/R1BQK2R b KQkq b3 0 8|0.5
r1bqk2r/4bpp1/1p1pnn1p/p3p3/1P2P3/2NP1N2/2P1BPPP/1RBQ1RK1 w kq a6 0 12|0.5
r1bqk2r/4bpp1/1p1pnn1p/P3p3/4P3/2NP1N2/2P1BPPP/1RBQ1RK1 b kq - 0 12|0.5
r2qk2r/4bpp1/b2p3p/p1nnp3/2P1P3/3PBN2/4BPPP/1R1Q1RK1 w kq - 0 16|0.5
r2qk2r/4bpp1/b2p3p/p1nPp3/2P5/3PBN2/4BPPP/1R1Q1RK1 b kq - 0 16|0.5
r1b1k2r/2q2pp1/5b1p/p1pPp3/2P5/R2P1N2/4BPPP/3Q1RK1 w kq - 4 20|0.5
r1b1k2r/2q2pp1/5b1p/p1pPp3/2P5/R2P4/3NBPPP/3Q1RK1 b kq - 5 20|0.5
5rk1/2q1bpp1/r6p/p1pPp3/2P5/R2P4/3NQPPP/5RK1 w - - 3 24|0.5
5rk1/2q1bpp1/r6p/p1pPp3/2P5/R2P4/3NQPPP/4R1K1 b - - 4 24|0.5
1q3rk1/6p1/r6p/2pPppb1/p1P5/R2P4/R2N1PPP/3Q2K1 w - - 2 28|0.5
1q3rk1/6p1/r6p/2pPppb1/R1P5/3P4/R2N1PPP/3Q2K1 b - - 0 28|0.5
1q3rk1/6p1/R6p/2pPppb1/2P5/3P4/R3QPPP/1r3NK1 w - - 7 32|0.5
1q3rk1/6p1/R6p/2pPppb1/2P5/3P2P1/R3QP1P/1r3NK1 b - - 0 32|0.5
q4rk1/4b1p1/7p/2pP4/2P1pP1P/3P4/R3QP2/1r3NK1 w - - 0 36|0.5
R4rk1/4b1p1/7p/2pP4/2P1pP1P/3P4/4QP2/1r3NK1 b - - 0 36|0.5
r2b2k1/6p1/7p/2pP4/2P1QP1P/3P4/5P2/1r3NK1 w - - 5 40|0.5
r2bQ1k1/6p1/7p/2pP4/2P2P1P/3P4/5P2/1r3NK1 b - - 6 40|0.5
r5k1/6p1/5b1p/2pP3P/2P1QP2/3P4/5PK1/r4N2 w - - 1 44|0.5
r5k1/6p1/5b1p/2pP3P/2P1QP2/3P4/3N1PK1/r7 b - - 2 44|0.5
3r2k1/6p1/7p/r1pP3P/2P2P2/3PQNK1/5P2/b7 w - - 9 48|0.5
3r2k1/6p1/4Q2p/r1pP3P/2P2P2/3P1NK1/5P2/b7 b - - 10 48|0.5
r7/6pk/2QP1b1p/2p4P/2P2P2/3P1NK1/5P2/r7 w - - 3 52|0.5
r7/6pk/3P1b1p/2pQ3P/2P2P2/3P1NK1/5P2/r7 b - - 4 52|0.5
8/3P2pk/5b1p/2Q4P/2P2P2/3P1N2/r4rK1/8 w - - 0 56|0.5
8/3P2pk/5b1p/7P/2P2P2/3P1N2/r4QK1/8 b - - 0 56|0.5
8/2bP3k/7p/4N1pP/2P2P2/3P2K1/8/8 w - - 4 60|0.5
8/2bP3k/7p/4N1pP/2P2PK1/3P4/8/8 b - - 5 60|0.5
3b4/8/5k1p/4N2P/2P2PK1/3P4/8/8 w - - 1 64|0.5
